date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-02,A,entry,5,37.5542,187.77,0.19,,,99508.54
2015-01-02,AAPL,entry,8,24.6608,197.29,0.2,,,99508.54
2015-01-02,ABBV,entry,5,41.1496,205.75,0.21,,,99508.54
2015-01-02,ABT,entry,5,36.3081,181.54,0.18,,,99508.54
2015-01-02,ACGL,entry,11,18.7738,206.51,0.21,,,99508.54
2015-01-02,ACN,entry,2,74.3533,148.71,0.15,,,99508.54
2015-01-02,ADBE,entry,2,72.7363,145.47,0.15,,,99508.54
2015-01-02,ADI,entry,4,44.3497,177.4,0.18,,,99508.54
2015-01-02,ADM,entry,5,37.2839,186.42,0.19,,,99508.54
2015-01-02,ADP,entry,3,64.8157,194.45,0.19,,,99508.54
2015-01-02,ADSK,entry,3,60.09,180.27,0.18,,,99508.54
2015-01-02,AEE,entry,6,32.9011,197.41,0.2,,,99508.54
2015-01-02,AEP,entry,5,40.5912,202.96,0.2,,,99508.54
2015-01-02,AES,entry,24,9.0158,216.38,0.22,,,99508.54
2015-01-02,AFL,entry,9,23.479,211.31,0.21,,,99508.54
2015-01-02,AIG,entry,5,43.1778,215.89,0.22,,,99508.54
2015-01-02,AIZ,entry,3,54.8889,164.67,0.16,,,99508.54
2015-01-02,AJG,entry,5,38.4121,192.06,0.19,,,99508.54
2015-01-02,AKAM,entry,3,63.5117,190.54,0.19,,,99508.54
2015-01-02,ALB,entry,4,51.3221,205.29,0.21,,,99508.54
2015-01-02,ALGN,entry,3,57.2686,171.81,0.17,,,99508.54
2015-01-02,ALL,entry,3,55.3377,166.01,0.17,,,99508.54
2015-01-02,ALLE,entry,4,49.0777,196.31,0.2,,,99508.54
2015-01-02,AMAT,entry,9,21.7474,195.73,0.2,,,99508.54
2015-01-02,AMCR,entry,6,35.2889,211.73,0.21,,,99508.54
2015-01-02,AMD,entry,81,2.6713,216.38,0.22,,,99508.54
2015-01-02,AME,entry,4,48.9479,195.79,0.2,,,99508.54
2015-01-02,AMGN,entry,1,115.0199,115.02,0.12,,,99508.54
2015-01-02,AMP,entry,2,104.6876,209.38,0.21,,,99508.54
2015-01-02,AMT,entry,2,75.4013,150.8,0.15,,,99508.54
2015-01-02,AMZN,entry,13,15.6368,203.28,0.2,,,99508.54
2015-01-02,ANET,entry,56,3.7994,212.77,0.21,,,99508.54
2015-01-02,AON,entry,2,85.768,171.54,0.17,,,99508.54
2015-01-02,AOS,entry,9,23.4901,211.41,0.21,,,99508.54
2015-01-02,APA,entry,4,46.9313,187.73,0.19,,,99508.54
2015-01-02,APD,entry,2,100.8519,201.7,0.2,,,99508.54
2015-01-02,APH,entry,17,12.1562,206.65,0.21,,,99508.54
2015-01-02,APO,entry,15,13.9549,209.32,0.21,,,99508.54
2015-01-02,APTV,entry,3,57.9047,173.71,0.17,,,99508.54
2015-01-02,ARE,entry,3,59.729,179.19,0.18,,,99508.54
2015-01-02,ARES,entry,20,10.5762,211.52,0.21,,,99508.54
2015-01-02,ATO,entry,5,42.6711,213.36,0.21,,,99508.54
2015-01-02,AVB,entry,1,112.7966,112.8,0.11,,,99508.54
2015-01-02,AVGO,entry,28,7.6116,213.13,0.21,,,99508.54
2015-01-02,AVY,entry,5,42.1746,210.87,0.21,,,99508.54
2015-01-02,AWK,entry,5,42.318,211.59,0.21,,,99508.54
2015-01-02,AXON,entry,8,26.7134,213.71,0.21,,,99508.54
2015-01-02,AXP,entry,2,79.2073,158.41,0.16,,,99508.54
2015-01-02,BA,entry,1,114.6941,114.69,0.11,,,99508.54
2015-01-02,BAC,entry,15,14.2019,213.03,0.21,,,99508.54
2015-01-02,BALL,entry,7,30.591,214.14,0.21,,,99508.54
2015-01-02,BAX,entry,6,33.3086,199.85,0.2,,,99508.54
2015-01-02,BBY,entry,8,25.8306,206.64,0.21,,,99508.54
2015-01-02,BDX,entry,2,90.46,180.92,0.18,,,99508.54
2015-01-02,BEN,entry,6,33.4888,200.93,0.2,,,99508.54
2015-01-02,BF-B,entry,7,28.8123,201.69,0.2,,,99508.54
