date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2024-01-02,AAPL,entry,54,185.1478,9997.98,10.0,,,99477.76
2024-01-02,AMZN,entry,65,151.6158,9855.02,9.86,,,99477.76
2024-01-02,GOOGL,entry,72,137.483,9898.77,9.9,,,99477.76
2024-01-02,JNJ,entry,68,146.8891,9988.46,9.99,,,99477.76
2024-01-02,JPM,entry,62,160.257,9935.94,9.94,,,99477.76
2024-01-02,META,entry,28,348.7588,9765.25,9.77,,,99477.76
2024-01-02,MSFT,entry,27,366.9178,9906.78,9.91,,,99477.76
2024-01-02,NVDA,entry,203,49.2385,9995.42,10.0,,,99477.76
2024-01-02,TSLA,entry,39,250.205,9758.0,9.76,,,99477.76
2024-01-02,V,entry,39,254.8964,9940.96,9.94,,,99477.76
