date,strategy,spy
2015-01-02,99508.54046158394,99390.77287425753
2015-01-05,98068.82553364238,97596.53410472628
2015-01-06,97295.88099220223,96677.5646223044
2015-01-07,98334.93855394925,97881.8507551169
2015-01-08,99923.75959353651,99618.0958723044
2015-01-09,99264.99394237007,98820.0861066794
2015-01-12,98650.31082280482,98046.26115550753
2015-01-13,98507.03549366201,97770.59526195284
2015-01-14,98089.8782386085,97180.55351390596
2015-01-15,97333.92245589699,96290.6788801169
2015-01-16,98435.18829823121,97552.95866527315
2015-01-20,98377.4490038783,97760.91777171846
2015-01-21,98908.38058450942,98254.22917308565
2015-01-22,100219.28467361169,99714.80839671846
2015-01-23,99960.53719237316,99168.27971019503
2015-01-26,100482.4770656215,99400.45927562471
2015-01-27,99807.02341788876,98089.80986156221
2015-01-28,98771.03521413464,96832.35099925753
2015-01-29,99497.79569060463,97727.0822004294
2015-01-30,98157.52178967564,96498.6290754294
2015-02-02,99044.19817412464,97693.22880687471
2015-02-03,100310.54907548992,99105.42057933565
2015-02-04,100037.86521981999,98728.17668285128
2015-02-05,100968.1795152013,99724.48588695284
2015-02-06,100537.11209663532,99448.81999339815
2015-02-09,100141.78400313976,99003.87822093721
2015-02-10,101152.93794462207,100058.18107738253
2015-02-11,101165.37657868097,100116.23710765596
2015-02-12,102126.67696424553,101078.68400707003
2015-02-13,102428.43468730414,101494.59330882784
2015-02-17,102487.18889718845,101654.19169749971
2015-02-18,102725.2606796582,101663.86918773409
2015-02-19,102715.58486818864,101591.31474437471
2015-02-20,103298.83848487928,102200.67582835909
2015-02-23,103226.50888734653,102186.17741527315
2015-02-24,103402.2131835778,102476.35063304659
2015-02-25,103387.17609369352,102389.33342113253
2015-02-26,103219.57975948277,102268.38261546846
2015-02-27,103028.66636892509,101920.1622785544
2015-03-02,103669.37098547172,102563.43022289034
2015-03-03,103216.96614857863,102142.6554426169
2015-03-04,102719.13881136346,101712.22099437471
2015-03-05,102970.94979597497,101823.45866527315
2015-03-06,101710.69604761768,100391.89409007784
2015-03-09,102005.19086421895,100807.80339183565
2015-03-10,100699.44982446599,99173.14518871065
2015-03-11,100854.46418410177,98941.00126781221
2015-03-12,102070.87170305358,100198.44230785128
2015-03-13,101552.29870596038,99584.22465648409
2015-03-16,102747.0311782013,100914.21122874971
2015-03-17,102556.25833269463,100614.3605207419
2015-03-18,103611.99146231089,101823.45866527315
2015-03-19,103326.65290298138,101359.17973460909
2015-03-20,104159.42819484149,102253.51884593721
2015-03-23,103973.72457750712,102054.35502757784
2015-03-24,103513.17379917775,101481.12858714815
2015-03-25,102022.6732596365,99994.5734113669
2015-03-26,101834.8129705755,99756.53032054659
2015-03-27,102277.59184294622,99984.86027660128
2015-03-30,103384.1744206516,101204.2062238669
2015-03-31,102834.84841084163,100320.06144847628
2015-04-01,102435.3250628082,99965.45182933565
2015-04-02,102750.46740632932,100324.9269269919
2015-04-06,103312.8594220845,101000.15910472628
2015-04-07,102940.07054260527,100732.9855207419
2015-04-08,103369.22262594258,101073.05217113253
2015-04-09,103588.31769636428,101519.93657054659
2015-04-10,103921.73266080176,102073.76347484346
2015-04-13,103660.78502926385,101612.29155101534
2015-04-14,103812.1883284763,101806.58097972628
2015-04-15,104220.78013262307,102263.24980296846
2015-04-16,104244.38628695956,102234.08366527315
2015-04-17,103197.56963183483,101058.46464671846
2015-04-20,103951.41831543049,101981.46196117159
2015-04-21,104012.3240500106,101860.02995433565
2015-04-22,104256.1973934795,102360.38115062471
2015-04-23,104496.8823711669,102617.83268871065
2015-04-24,104480.43364290352,102855.89360179659
2015-04-27,103985.37921605463,102428.40873851534
2015-04-28,104139.95190821047,102753.87004222628
2015-04-29,103669.54796870858,102331.23283519503
2015-04-30,102707.41915204436,101306.2208723044
2015-05-01,103691.71029951483,102404.0724348044
2015-05-04,104067.61902179629,102695.59123363253
2015-05-05,102918.8109864822,101519.93657054659
2015-05-06,102702.96031846911,101102.1915754294
2015-05-07,103162.75267347008,101505.4025129294
2015-05-08,104131.64985223919,102841.35063304659
2015-05-11,103941.32804405004,102350.65910472628
2015-05-12,103675.54957648426,102044.61515941378
2015-05-13,103691.263690435,102064.05925121065
2015-05-14,104689.0261573425,103127.95939769503
2015-05-15,104821.79878953079,103239.67826976534
2015-05-18,105263.9803982077,103560.3097394919
2015-05-19,105237.62424524855,103526.26921214815
2015-05-20,105151.05557116102,103453.40287914034
2015-05-21,105293.25071545475,103754.62590160128
2015-05-22,105146.7419797384,103506.86076488253
2015-05-26,104267.91587783926,102394.39494457003
2015-05-27,105066.73341995644,103365.95793285128
2015-05-28,105018.36897343563,103249.38249339815
2015-05-29,104506.25985808639,102608.13737621065
2015-06-01,104689.6699863818,102817.03215160128
2015-06-02,104578.29658998517,102714.99076976534
2015-06-03,104793.03347392348,102987.02983226534
2015-06-04,104034.15688043562,102117.4904035544
2015-06-05,104110.22155827013,101942.59159984346
2015-06-08,103486.08372688468,101315.90727367159
2015-06-09,103454.23857820209,101301.3732160544
2015-06-10,104500.36439496453,102515.82695140596
2015-06-11,104810.324735226,102846.2072004294
2015-06-12,104320.17828454882,102059.18486156221
2015-06-15,103959.18322201398,101621.99577464815
2015-06-16,104411.65834738464,102175.77812328096
2015-06-17,104676.26352505069,102340.94596996065
2015-06-18,105598.7241175379,103404.85502757784
2015-06-19,105286.8427999224,102946.0118879294
2015-06-22,105732.87258758204,103473.18559398409
2015-06-23,105702.13829537289,103546.42619457003
2015-06-24,104964.39546020882,102794.69194164034
2015-06-25,104767.26644911425,102482.23198070284
2015-06-26,104751.15166215516,102462.73442210909
2015-06-29,102829.43828086472,100314.81279124971
2015-06-30,103145.50351377633,100524.74125804659
2015-07-01,103771.23445200232,101330.15617503878
2015-07-02,103688.713892602,101237.4269269919
2015-07-06,103342.9599864712,100949.4191144919
2015-07-07,103894.9636603227,101584.02543773409
2015-07-08,102417.86188148928,99880.3683332419
2015-07-09,102710.7210324652,100060.97026195284
2015-07-10,103767.5589748071,101320.43412914034
2015-07-13,104598.13855523332,102438.28227367159
2015-07-14,104998.15505093797,102882.4933332419
2015-07-15,104684.37005175366,102848.33696117159
2015-07-16,105368.39418638959,103673.32072582003
2015-07-17,105100.48123755418,103761.2023176169
2015-07-20,105082.55006452762,103814.8829816794
2015-07-21,104694.80835773908,103404.85502757784
2015-07-22,104823.49153646194,103219.3341535544
2015-07-23,104392.13833280765,102638.43522777315
2015-07-24,103536.99593444954,101574.25883617159
2015-07-27,102845.37907314597,100983.58439769503
2015-07-28,103873.15383825003,102223.4972394919
2015-07-29,104682.02080485522,102926.44304027315
2015-07-30,104977.331215198,102950.8595441794
2015-07-31,105118.7348767471,102794.69194164034
2015-08-03,104938.40214052316,102448.0577863669
2015-08-04,104929.18586430406,102247.89592113253
2015-08-05,105399.03067326998,102584.71000804659
2015-08-06,104730.4307021842,101745.11198558565
2015-08-07,104642.9761824057,101549.86015453096
2015-08-10,105696.94351212388,102828.82158031221
2015-08-11,104900.1839384615,101901.33305492159
2015-08-12,104965.11589964028,102023.3888410544
2015-08-13,105051.33810468312,101896.45866527315
2015-08-14,105518.08161512221,102267.42021312471
2015-08-17,106103.7156619748,102838.5792707419
2015-08-18,105805.84737697447,102540.81376781221
2015-08-19,105119.78895905818,101730.48881664034
2015-08-20,103041.97211083974,99606.9747785544
2015-08-21,100633.0383732649,96609.6974348044
2015-08-24,97111.11953095927,92543.38713207003
2015-08-25,96085.82815782279,91454.7853254294
2015-08-26,98725.19256219352,94964.60429515596
2015-08-27,100732.90800127471,97312.64323558565
2015-08-28,100927.93593863945,97317.53544749971
2015-08-31,100223.69294623833,96531.60026683565
2015-09-01,97708.24841694336,93651.4864973044
2015-09-02,99071.03783444862,95428.3663801169
2015-09-03,99420.74018804531,95496.74150218721
2015-09-04,98186.13386110764,94051.7745832419
2015-09-08,100397.26117072305,96414.4366926169
2015-09-09,99379.65182065967,95125.72648753878
2015-09-10,99682.79062700275,95643.1603254294
2015-09-11,100137.38541286364,96077.62260570284
2015-09-14,99791.91474470535,95721.25749339815
2015-09-15,100796.71696421543,96917.25627269503
2015-09-16,101602.34726688305,97756.8810285544
2015-09-17,101559.68769320885,97537.2394269919
2015-09-18,100223.00381597916,95943.90214671846
2015-09-21,100575.04922673145,96439.54826488253
2015-09-22,99301.59604546467,95188.25590648409
2015-09-23,99128.18283971158,95036.15178050753
2015-09-24,98778.903232654,94692.65434398409
2015-09-25,98818.04297777024,94668.10417308565
2015-09-28,96516.39063592759,92293.17143382784
2015-09-29,96516.13118882981,92347.12834300753
2015-09-30,98093.43235278981,94069.49882640596
2015-10-01,98232.85743273156,94314.79557933565
2015-10-02,99425.7458432998,95723.13774242159
2015-10-05,101031.32549131768,97425.83244457003
2015-10-06,100489.09221318335,97092.10160960909
2015-10-07,101333.24577011708,97887.07267894503
2015-10-08,102145.0578698994,98770.33525218721
2015-10-09,102181.64711549449,98829.20219554659
2015-10-12,102305.34621241686,98922.4572004294
2015-10-13,101553.867080003,98299.25712718721
2015-10-14,101017.20531871912,97828.19682445284
2015-10-15,102196.22209993002,99329.72270335909
2015-10-16,102420.74592390654,99781.15178050753
2015-10-19,102463.09946718809,99830.18974437471
2015-10-20,102456.83112874624,99702.63578929659
2015-10-21,101833.25784531233,99084.3546613669
2015-10-22,103202.83007350643,100757.64262523409
2015-10-23,103779.65942360226,101861.66960277315
2015-10-26,103589.60496337927,101611.45390453096
2015-10-27,103143.15125854529,101415.15947093721
2015-10-28,104189.73946316756,102568.28679027315
2015-10-29,103874.22274716414,102509.41093578096
2015-10-30,103868.01792963065,102067.77519359346
2015-11-02,104902.50123341597,103274.89506664034
2015-11-03,104931.80143412683,103574.2111066794
2015-11-04,104761.21025380227,103260.15605296846
2015-11-05,104741.31741651628,103157.12553539034
2015-11-06,104729.50795134637,103103.12407054659
2015-11-09,103861.83559506563,102141.3722394919
2015-11-10,104071.59950935272,102376.9113019919
2015-11-11,103880.17204468646,101974.59147777315
