date,strategy,spy
2024-01-02,99477.7629293862,99953.85836732195
2024-01-03,98779.64208359152,99138.67132508563
2024-01-04,98397.98537201315,98819.76715028094
2024-01-05,98776.07708877951,98954.93521058367
2024-01-08,100728.62212891012,100365.67361390399
2024-01-09,100921.45402283102,100213.60540711688
2024-01-10,102062.35577530295,100779.60137879656
2024-01-11,101862.36592239767,100735.24511658953
2024-01-12,101782.68708557516,100804.93173157977
2024-01-16,101644.79048294455,100435.36022889422
2024-01-17,101188.57243484884,99877.82757508563
2024-01-18,102295.89897674948,100764.80712830828
2024-01-19,103911.58911270529,102019.27215516375
2024-01-22,103818.92911285788,102234.68942200945
2024-01-23,104026.2844023171,102532.45516907977
2024-01-24,104714.57750458151,102644.39215028094
2024-01-25,104398.64063782126,103201.92480408953
2024-01-26,104102.6153349343,103070.98840272235
2024-01-29,105470.67516083151,103886.17544495867
2024-01-30,105317.4113630715,103805.93948304461
2024-01-31,102823.46910614401,102114.30898988055
2024-02-01,104027.85181183249,103449.01660096453
2024-02-02,107852.2360090676,104536.64565980242
2024-02-05,107614.9254545632,104156.49832093524
2024-02-06,107678.45690292746,104458.4957269411
2024-02-07,109109.0720838967,105328.59500062274
2024-02-08,108773.50140518576,105375.06378114031
2024-02-09,110175.22004074484,105983.27700745867
2024-02-12,109598.50812668234,105936.81484925555
2024-02-13,108259.36159653097,104479.61428773211
2024-02-14,109558.29944748312,105427.84362733172
2024-02-15,110163.26702255636,106154.33138978289
2024-02-16,109354.39519638449,105626.36074769305
2024-02-20,108233.75724930197,105045.6102594118
2024-02-21,108190.0550474587,105140.62722718524
2024-02-22,112411.34066147238,107313.76620423602
2024-02-23,112218.79629654318,107387.67785584735
2024-02-26,111797.00739426046,106994.86202943133
2024-02-27,111951.35208267599,107193.38577210711
2024-02-28,111670.86136764914,107051.88015687274
2024-02-29,112606.04336685568,107436.24591004656
2024-03-01,113630.24111313254,108443.61251771258
2024-03-04,112814.2622312966,108327.45712220477
2024-03-05,111661.77243942648,107246.18548524188
2024-03-06,112075.44503921896,107788.93051087664
2024-03-07,113807.92646164328,108857.54028260516
2024-03-08,112585.8749556008,108204.97079407977
2024-03-11,111840.52979416281,108112.05309998797
2024-03-12,114437.12678665548,109273.59381043719
2024-03-13,113882.35718674093,109102.51293885516
2024-03-14,113382.08375687033,108887.11553895281
2024-03-15,112457.19111771017,108140.36349427508
2024-03-18,114016.02378982931,108782.25118958758
2024-03-19,114490.34150833517,109386.02084290789
2024-03-20,115818.75045151144,110396.49331605242
2024-03-21,115826.59583420187,110760.86630189227
2024-03-22,116233.59324783713,110551.15747010516
2024-03-25,115852.52976364523,110246.10717713641
2024-03-26,115279.32930130392,110042.72265565203
2024-03-27,115442.37626022726,110966.3765863161
2024-03-28,115062.53101486593,110945.17855775164
2024-04-01,115453.48369736105,110752.38973939227
2024-04-02,114867.98581833273,110049.08669984149
2024-04-03,114940.09796280295,110169.81811463641
2024-04-04,113644.01008743673,108826.74652039813
2024-04-05,115219.07704300314,109962.21517884539
2024-04-08,115255.91333145529,110023.64376771258
2024-04-09,115173.89547867209,110150.75909364031
2024-04-10,114882.01608414084,109049.17681824969
2024-04-11,116711.4380049172,109871.13848817156
2024-04-12,114555.80690903097,108356.4429925661
2024-04-15,112452.0531095925,107000.64330994891
2024-04-16,112028.23938125998,106805.74197327899
2024-04-17,110948.70254654318,106174.44998109149
2024-04-18,110808.23269791037,105956.24471986102
2024-04-19,108068.14454025656,105032.61065614031
2024-04-22,109373.7097792092,105998.62091004656
2024-04-23,111247.63440842062,107254.86071717547
2024-04-24,111346.75389999777,107204.02120911883
2024-04-25,110091.01761764914,106797.27203309344
2024-04-26,112732.12193436056,107807.77761781024
2024-04-29,113162.29219192892,108189.07723939227
2024-04-30,110900.530648655,106477.38775574969
2024-05-01,111152.18106979757,106132.08041322039
2024-05-02,112549.15162796408,107123.51373231219
2024-05-03,114336.27627701193,108449.65869080828
2024-05-06,116058.09787125021,109568.18746888445
2024-05-07,115830.19621414572,109688.95199525164
2024-05-08,115943.76229233175,109699.54107606219
2024-05-09,116080.54030746847,110330.81320130633
2024-05-10,116130.26273483664,110472.76913392352
2024-05-13,116293.09600967795,110487.60311829852
2024-05-14,117182.13871902853,110993.91879212664
