date,strategy,spy
2015-01-02,99508.54046158394,99390.77287425753
2015-01-05,98068.82553364238,97596.53410472628
2015-01-06,97307.58995139999,96677.5646223044
2015-01-07,98342.49319008579,97881.8507551169
2015-01-08,99853.1674089218,99618.0958723044
2015-01-09,99228.11321807468,98820.0861066794
2015-01-12,98663.78550313282,98046.26115550753
2015-01-13,98549.1857410522,97770.59526195284
2015-01-14,98180.39529278039,97180.55351390596
2015-01-15,97499.97828890008,96290.6788801169
2015-01-16,98485.93624700629,97552.95866527315
2015-01-20,98424.78664459355,97760.91777171846
2015-01-21,98876.35455208203,98254.22917308565
2015-01-22,100050.64064203427,99714.80839671846
2015-01-23,99829.72949400944,99168.27971019503
2015-01-26,100287.99946440545,99400.45927562471
2015-01-27,99702.09059124357,98089.80986156221
2015-01-28,98862.91544169185,96832.35099925753
2015-01-29,99469.82235964328,97727.0822004294
2015-01-30,98306.81093804815,96498.6290754294
2015-02-02,98989.2486220806,97693.22880687471
2015-02-03,100013.37176633463,99105.42057933565
2015-02-04,99838.25431245058,98728.17668285128
2015-02-05,100591.4006191456,99724.48588695284
2015-02-06,100170.03850925827,99448.81999339815
2015-02-09,99831.81291257491,99003.87822093721
2015-02-10,100644.30456826807,100058.18107738253
2015-02-11,100638.9986255242,100116.23710765596
2015-02-12,101376.57165048971,101078.68400707003
2015-02-13,101555.418672303,101494.59330882784
2015-02-17,101576.39411582312,101654.19169749971
2015-02-18,101781.58154427083,101663.86918773409
2015-02-19,101734.69833063404,101591.31474437471
2015-02-20,102151.79390924278,102200.67582835909
2015-02-23,102093.39721610703,102186.17741527315
2015-02-24,102225.50916565317,102476.35063304659
2015-02-25,102183.88197018136,102389.33342113253
2015-02-26,102058.47572803624,102268.38261546846
2015-02-27,101954.85428712459,101920.1622785544
2015-03-02,102383.7829858103,102563.43022289034
2015-03-03,102049.59374735574,102142.6554426169
2015-03-04,101699.4456675094,101712.22099437471
2015-03-05,101875.32625113903,101823.45866527315
2015-03-06,100997.63909188725,100391.89409007784
2015-03-09,101211.87838705935,100807.80339183565
2015-03-10,100366.19697070634,99173.14518871065
2015-03-11,100448.48555771576,98941.00126781221
2015-03-12,101272.22555672552,100198.44230785128
2015-03-13,100906.97322624022,99584.22465648409
2015-03-16,101712.53590016648,100914.21122874971
2015-03-17,101582.77655004812,100614.3605207419
2015-03-18,102254.03780820142,101823.45866527315
2015-03-19,102061.2739556462,101359.17973460909
2015-03-20,102615.96003308066,102253.51884593721
2015-03-23,102518.22635752617,102054.35502757784
2015-03-24,102204.08705115766,101481.12858714815
2015-03-25,101243.65655918121,99994.5734113669
2015-03-26,101108.36948793828,99756.53032054659
2015-03-27,101406.53612820728,99984.86027660128
2015-03-30,102088.97537481932,101204.2062238669
2015-03-31,101766.46849015834,100320.06144847628
2015-04-01,101513.79465035503,99965.45182933565
2015-04-02,101736.57119731614,100324.9269269919
2015-04-06,102069.11735029038,101000.15910472628
2015-04-07,101823.52743833198,100732.9855207419
2015-04-08,102062.72485468158,101073.05217113253
2015-04-09,102136.15160454136,101519.93657054659
2015-04-10,102342.06727239897,102073.76347484346
2015-04-13,102231.94398826483,101612.29155101534
2015-04-14,102314.14906988977,101806.58097972628
2015-04-15,102497.11174917046,102263.24980296846
2015-04-16,102520.6792299686,102234.08366527315
2015-04-17,101895.410487285,101058.46464671846
2015-04-20,102322.99078641893,101981.46196117159
2015-04-21,102313.04098181264,101860.02995433565
2015-04-22,102434.99737878755,102360.38115062471
2015-04-23,102559.29016751792,102617.83268871065
2015-04-24,102574.89547749911,102855.89360179659
2015-04-27,102299.80547758334,102428.40873851534
2015-04-28,102409.12787981256,102753.87004222628
2015-04-29,102122.16347845443,102331.23283519503
2015-04-30,101585.92493157211,101306.2208723044
2015-05-01,102136.22584255566,102404.0724348044
2015-05-04,102360.48176770814,102695.59123363253
2015-05-05,101741.38552426906,101519.93657054659
2015-05-06,101596.62602878429,101102.1915754294
2015-05-07,101868.20119135574,101505.4025129294
2015-05-08,102353.72124796108,102841.35063304659
2015-05-11,102295.98773063712,102350.65910472628
2015-05-12,102143.83517746557,102044.61515941378
2015-05-13,102147.89819154004,102064.05925121065
2015-05-14,102693.84308397371,103127.95939769503
2015-05-15,102769.06465488541,103239.67826976534
2015-05-18,103014.26420249956,103560.3097394919
2015-05-19,103071.30013805872,103526.26921214815
2015-05-20,103050.75509937418,103453.40287914034
2015-05-21,103094.06180394324,103754.62590160128
2015-05-22,102995.03661322966,103506.86076488253
2015-05-26,102583.69092040946,102394.39494457003
2015-05-27,103007.35433601968,103365.95793285128
2015-05-28,103019.18767921987,103249.38249339815
2015-05-29,102745.66009294734,102608.13737621065
2015-06-01,102817.0012383071,102817.03215160128
2015-06-02,102721.3027777229,102714.99076976534
2015-06-03,102847.40840656923,102987.02983226534
2015-06-04,102463.60000859102,102117.4904035544
2015-06-05,102448.67183693859,101942.59159984346
2015-06-08,102178.6118297044,101315.90727367159
2015-06-09,102158.30786246489,101301.3732160544
2015-06-10,102653.79815382254,102515.82695140596
2015-06-11,102838.01047514888,102846.2072004294
2015-06-12,102622.15270605433,102059.18486156221
2015-06-15,102406.89255192885,101621.99577464815
2015-06-16,102679.20155125996,102175.77812328096
2015-06-17,102832.98639573866,102340.94596996065
2015-06-18,103285.42900714235,103404.85502757784
2015-06-19,103147.79044186429,102946.0118879294
2015-06-22,103341.18175639378,103473.18559398409
2015-06-23,103299.26286012438,103546.42619457003
2015-06-24,102990.70155135743,102794.69194164034
2015-06-25,102860.84409661763,102482.23198070284
2015-06-26,102877.89501302526,102462.73442210909
2015-06-29,102009.03798073521,100314.81279124971
2015-06-30,102140.77677360596,100524.74125804659
2015-07-01,102484.50520716203,101330.15617503878
2015-07-02,102460.48059594815,101237.4269269919
2015-07-06,102314.68840915957,100949.4191144919
2015-07-07,102543.62976982814,101584.02543773409
2015-07-08,101914.99453836994,99880.3683332419
2015-07-09,102028.04224475296,100060.97026195284
2015-07-10,102474.61710855205,101320.43412914034
2015-07-13,102801.52589850992,102438.28227367159
2015-07-14,102966.9145883105,102882.4933332419
2015-07-15,102870.9889562536,102848.33696117159
2015-07-16,103233.38284629604,103673.32072582003
2015-07-17,103124.47015152754,103761.2023176169
2015-07-20,103138.00263199126,103814.8829816794
2015-07-21,102958.27541511104,103404.85502757784
2015-07-22,103036.89100368757,103219.3341535544
2015-07-23,102869.62116866503,102638.43522777315
2015-07-24,102593.49245024075,101574.25883617159
2015-07-27,102364.34363164366,100983.58439769503
2015-07-28,102736.12088124406,102223.4972394919
2015-07-29,103058.04371244903,102926.44304027315
2015-07-30,103203.367438609,102950.8595441794
2015-07-31,103256.72808304429,102794.69194164034
2015-08-03,103238.2927219266,102448.0577863669
2015-08-04,103210.78230842928,102247.89592113253
2015-08-05,103423.10201953069,102584.71000804659
2015-08-06,103178.60938634233,101745.11198558565
2015-08-07,103209.09703150582,101549.86015453096
2015-08-10,103524.42740608777,102828.82158031221
2015-08-11,103254.77141349507,101901.33305492159
2015-08-12,103278.04543416594,102023.3888410544
2015-08-13,103360.59824844693,101896.45866527315
2015-08-14,103557.14804172759,102267.42021312471
2015-08-17,103746.20849249618,102838.5792707419
2015-08-18,103658.04807161249,102540.81376781221
2015-08-19,103439.38608333965,101730.48881664034
2015-08-20,102713.09047531242,99606.9747785544
2015-08-21,101899.18468833464,96609.6974348044
2015-08-24,100628.94174903462,92543.38713207003
2015-08-25,100392.55468498704,91454.7853254294
2015-08-26,101112.58744820868,94964.60429515596
2015-08-27,101594.18290572592,97312.64323558565
2015-08-28,101624.78035382618,97317.53544749971
2015-08-31,101416.61876837198,96531.60026683565
2015-09-01,100744.09770533923,93651.4864973044
2015-09-02,101075.919656486,95428.3663801169
2015-09-03,101201.92921260762,95496.74150218721
2015-09-04,100872.27826840327,94051.7745832419
2015-09-08,101416.34770540969,96414.4366926169
2015-09-09,101153.02874666401,95125.72648753878
2015-09-10,101241.80075460621,95643.1603254294
2015-09-11,101348.94561910772,96077.62260570284
2015-09-14,101271.65273233058,95721.25749339815
2015-09-15,101533.62078979012,96917.25627269503
2015-09-16,101720.82395446699,97756.8810285544
2015-09-17,101715.20264499556,97537.2394269919
2015-09-18,101440.93642156493,95943.90214671846
2015-09-21,101527.48154179713,96439.54826488253
2015-09-22,101207.83279741411,95188.25590648409
2015-09-23,101218.70361120004,95036.15178050753
2015-09-24,101201.52000486862,94692.65434398409
2015-09-25,101281.48236667024,94668.10417308565
2015-09-28,100826.40812975311,92293.17143382784
2015-09-29,100825.71550817048,92347.12834300753
2015-09-30,101179.22942651584,94069.49882640596
2015-10-01,101192.7758565421,94314.79557933565
2015-10-02,101404.36073800882,95723.13774242159
2015-10-05,101770.19355721997,97425.83244457003
2015-10-06,101658.39120025471,97092.10160960909
2015-10-07,101848.37333790357,97887.07267894503
2015-10-08,102056.47307787611,98770.33525218721
2015-10-09,102014.54394636257,98829.20219554659
2015-10-12,102068.54092598447,98922.4572004294
2015-10-13,101900.45538913376,98299.25712718721
2015-10-14,101768.63354959607,97828.19682445284
2015-10-15,101992.8952339879,99329.72270335909
2015-10-16,102073.69129281642,99781.15178050753
2015-10-19,102099.40137322317,99830.18974437471
2015-10-20,102125.87313097065,99702.63578929659
2015-10-21,102006.26259273967,99084.3546613669
2015-10-22,102356.13767657279,100757.64262523409
2015-10-23,102400.72308579223,101861.66960277315
2015-10-26,102350.01828980423,101611.45390453096
2015-10-27,102270.83127747853,101415.15947093721
2015-10-28,102481.23544789485,102568.28679027315
2015-10-29,102398.63796149137,102509.41093578096
2015-10-30,102370.38797411007,102067.77519359346
2015-11-02,102531.69334503693,103274.89506664034
2015-11-03,102519.85032525114,103574.2111066794
2015-11-04,102505.71553342565,103260.15605296846
2015-11-05,102507.9948676541,103157.12553539034
2015-11-06,102526.41769340403,103103.12407054659
2015-11-09,102366.52741828273,102141.3722394919
2015-11-10,102410.5257910967,102376.9113019919
2015-11-11,102395.45222200463,101974.59147777315
