date,strategy,spy
2015-01-02,99489.39501939644,99390.77287425753
2015-01-05,97819.25559194316,97596.53410472628
2015-01-06,96939.25676448812,96677.5646223044
2015-01-07,98131.2355045035,97881.8507551169
2015-01-08,99918.14495557199,99618.0958723044
2015-01-09,99164.64398738112,98820.0861066794
2015-01-12,98475.25862024151,98046.26115550753
2015-01-13,98313.83725819307,97770.59526195284
2015-01-14,97840.99319815726,97180.55351390596
2015-01-15,96997.07939450754,96290.6788801169
2015-01-16,98227.18632809544,97552.95866527315
2015-01-20,98209.58524711055,97760.91777171846
2015-01-21,98765.89735625917,98254.22917308565
2015-01-22,100249.28201155945,99714.80839671846
2015-01-23,99907.31024966043,99168.27971019503
2015-01-26,100417.69083832581,99400.45927562471
2015-01-27,99526.05837873329,98089.80986156221
2015-01-28,98388.50048205753,96832.35099925753
2015-01-29,99212.98799061807,97727.0822004294
2015-01-30,97735.80921599349,96498.6290754294
2015-02-02,98727.91556290533,97693.22880687471
2015-02-03,100131.4316134453,99105.42057933565
2015-02-04,99853.23731804035,98728.17668285128
2015-02-05,100881.73254838769,99724.48588695284
2015-02-06,100380.7362437896,99448.81999339815
2015-02-09,99910.95664659906,99003.87822093721
2015-02-10,101040.66943497949,100058.18107738253
2015-02-11,101052.28724254714,100116.23710765596
2015-02-12,102087.37405712307,101078.68400707003
2015-02-13,102395.1755718318,101494.59330882784
2015-02-17,102467.05519002033,101654.19169749971
2015-02-18,102675.00145948066,101663.86918773409
2015-02-19,102603.00990721124,101591.31474437471
2015-02-20,103229.30923069856,102200.67582835909
2015-02-23,103164.29811985299,102186.17741527315
2015-02-24,103399.20350462334,102476.35063304659
2015-02-25,103324.78695948698,102389.33342113253
2015-02-26,103153.65038186437,102268.38261546846
2015-02-27,102917.80296112002,101920.1622785544
2015-03-02,103593.20114573449,102563.43022289034
2015-03-03,103095.58662056248,102142.6554426169
2015-03-04,102575.65688728273,101712.22099437471
2015-03-05,102795.2757800836,101823.45866527315
2015-03-06,101348.62704068766,100391.89409007784
2015-03-09,101727.76709885018,100807.80339183565
2015-03-10,100218.19612874213,99173.14518871065
2015-03-11,100204.46414336875,98941.00126781221
2015-03-12,101551.16284382546,100198.44230785128
2015-03-13,100929.02956062696,99584.22465648409
2015-03-16,102292.03055649427,100914.21122874971
2015-03-17,102034.67553790464,100614.3605207419
2015-03-18,103223.00713388286,101823.45866527315
2015-03-19,102829.12275249147,101359.17973460909
2015-03-20,103774.05386188113,102253.51884593721
2015-03-23,103587.9670338847,102054.35502757784
2015-03-24,103018.3635318536,101481.12858714815
2015-03-25,101393.5650589201,99994.5734113669
2015-03-26,101151.37986662376,99756.53032054659
2015-03-27,101551.85958434666,99984.86027660128
2015-03-30,102787.33800183567,101204.2062238669
2015-03-31,102061.86367911319,100320.06144847628
2015-04-01,101646.80848692491,99965.45182933565
2015-04-02,102034.29196076484,100324.9269269919
2015-04-06,102677.34233923473,101000.15910472628
2015-04-07,102306.99674104434,100732.9855207419
2015-04-08,102705.7459762416,101073.05217113253
2015-04-09,102988.5803484521,101519.93657054659
2015-04-10,103454.76346266903,102073.76347484346
2015-04-13,103125.4961109567,101612.29155101534
2015-04-14,103299.9268040287,101806.58097972628
2015-04-15,103701.05832181036,102263.24980296846
2015-04-16,103710.16682393441,102234.08366527315
2015-04-17,102518.97252343938,101058.46464671846
2015-04-20,103391.72287336925,101981.46196117159
2015-04-21,103322.19728360043,101860.02995433565
2015-04-22,103688.66287919048,102360.38115062471
2015-04-23,103939.65450625817,102617.83268871065
2015-04-24,104072.80318146486,102855.89360179659
2015-04-27,103584.90858454604,102428.40873851534
2015-04-28,103856.9616386307,102753.87004222628
2015-04-29,103358.41580612566,102331.23283519503
2015-04-30,102306.87534425734,101306.2208723044
2015-05-01,103413.92336186339,102404.0724348044
2015-05-04,103789.16585891394,102695.59123363253
2015-05-05,102557.82425320646,101519.93657054659
2015-05-06,102194.37380253115,101102.1915754294
2015-05-07,102677.38946759567,101505.4025129294
2015-05-08,103869.77248501644,102841.35063304659
2015-05-11,103552.14649725282,102350.65910472628
2015-05-12,103237.27701888655,102044.61515941378
2015-05-13,103251.43253656737,102064.05925121065
2015-05-14,104365.76243876667,103127.95939769503
2015-05-15,104499.6087875033,103239.67826976534
2015-05-18,104918.03472016372,103560.3097394919
2015-05-19,104956.32727959835,103526.26921214815
2015-05-20,104895.83931445953,103453.40287914034
2015-05-21,105103.15096746883,103754.62590160128
2015-05-22,104867.93980263417,103506.86076488253
2015-05-26,103844.8559001706,102394.39494457003
2015-05-27,104803.94438133712,103365.95793285128
2015-05-28,104751.0367382983,103249.38249339815
2015-05-29,104121.48633558622,102608.13737621065
2015-06-01,104308.81477841758,102817.03215160128
2015-06-02,104156.15486153455,102714.99076976534
2015-06-03,104434.11791225588,102987.02983226534
2015-06-04,103564.65365062027,102117.4904035544
2015-06-05,103451.53229918366,101942.59159984346
2015-06-08,102828.9784654671,101315.90727367159
2015-06-09,102800.20157862829,101301.3732160544
2015-06-10,103983.7576543716,102515.82695140596
2015-06-11,104355.52473360905,102846.2072004294
2015-06-12,103690.64038579624,102059.18486156221
2015-06-15,103225.08300195199,101621.99577464815
2015-06-16,103814.7958175761,102175.77812328096
2015-06-17,104063.60873822667,102340.94596996065
2015-06-18,105128.16341017724,103404.85502757784
2015-06-19,104726.26849432637,102946.0118879294
2015-06-22,105223.60216177307,103473.18559398409
2015-06-23,105223.80656732514,103546.42619457003
2015-06-24,104478.35093448748,102794.69194164034
2015-06-25,104165.52039327257,102482.23198070284
2015-06-26,104170.85666712462,102462.73442210909
2015-06-29,102036.2702300188,100314.81279124971
2015-06-30,102291.09351951869,100524.74125804659
2015-07-01,103118.63812883354,101330.15617503878
2015-07-02,103038.72191605714,101237.4269269919
2015-07-06,102719.07670199942,100949.4191144919
2015-07-07,103331.08534314837,101584.02543773409
2015-07-08,101666.58010157164,99880.3683332419
2015-07-09,101888.43579182914,100060.97026195284
2015-07-10,103113.28887724034,101320.43412914034
2015-07-13,104132.84728424609,102438.28227367159
2015-07-14,104574.08237151409,102882.4933332419
2015-07-15,104456.86749385174,102848.33696117159
2015-07-16,105333.46359336683,103673.32072582003
2015-07-17,105278.79340784883,103761.2023176169
2015-07-20,105325.43494300339,103814.8829816794
2015-07-21,104887.06836068457,103404.85502757784
2015-07-22,104847.9324931309,103219.3341535544
2015-07-23,104311.10545596354,102638.43522777315
2015-07-24,103355.02785129855,101574.25883617159
2015-07-27,102746.82655400145,100983.58439769503
2015-07-28,103917.9767875741,102223.4972394919
2015-07-29,104697.97081946138,102926.44304027315
2015-07-30,104858.77858470182,102950.8595441794
2015-07-31,104808.39421672493,102794.69194164034
2015-08-03,104559.66082093929,102448.0577863669
2015-08-04,104398.640927493,102247.89592113253
2015-08-05,104835.36089636524,102584.71000804659
2015-08-06,104026.51850223217,101745.11198558565
2015-08-07,103924.6828731601,101549.86015453096
2015-08-10,105106.99010842833,102828.82158031221
2015-08-11,104206.57077533539,101901.33305492159
2015-08-12,104312.76461358178,102023.3888410544
2015-08-13,104308.33458694711,101896.45866527315
2015-08-14,104758.70496850653,102267.42021312471
2015-08-17,105339.68413416296,102838.5792707419
2015-08-18,105046.02826156103,102540.81376781221
2015-08-19,104266.2764443259,101730.48881664034
2015-08-20,102063.19058520654,99606.9747785544
2015-08-21,99154.05588193765,96609.6974348044
2015-08-24,95006.0126051427,92543.38713207003
2015-08-25,93977.83148390267,91454.7853254294
2015-08-26,97363.60535627254,94964.60429515596
2015-08-27,99674.58046772043,97312.64323558565
2015-08-28,99708.73953934324,97317.53544749971
2015-08-31,98886.90253884997,96531.60026683565
2015-09-01,95965.52551878597,93651.4864973044
2015-09-02,97684.038952477,95428.3663801169
2015-09-03,97863.78854460936,95496.74150218721
2015-09-04,96398.45298431614,94051.7745832419
2015-09-08,98799.23011827302,96414.4366926169
2015-09-09,97520.58688930416,95125.72648753878
2015-09-10,98017.8126631155,95643.1603254294
2015-09-11,98467.66814989703,96077.62260570284
2015-09-14,98108.45628728981,95721.25749339815
2015-09-15,99316.57406398763,96917.25627269503
2015-09-16,100167.74984798854,97756.8810285544
2015-09-17,99987.7443613373,97537.2394269919
2015-09-18,98447.5389289223,95943.90214671846
2015-09-21,98927.88507454512,96439.54826488253
2015-09-22,97613.81436509934,95188.25590648409
2015-09-23,97503.33078907934,95036.15178050753
2015-09-24,97212.05505017955,94692.65434398409
2015-09-25,97272.18458244213,94668.10417308565
2015-09-28,94917.74045090354,92293.17143382784
2015-09-29,94959.57574530115,92347.12834300753
2015-09-30,96701.9516552148,94069.49882640596
2015-10-01,96913.75162528013,94314.79557933565
2015-10-02,98263.33980312796,95723.13774242159
2015-10-05,100008.23870815455,97425.83244457003
2015-10-06,99625.88786667425,97092.10160960909
2015-10-07,100460.8519632116,97887.07267894503
2015-10-08,101386.59772657538,98770.33525218721
2015-10-09,101392.34312562071,98829.20219554659
2015-10-12,101522.73398516543,98922.4572004294
2015-10-13,100841.1096185431,98299.25712718721
2015-10-14,100320.25044946927,97828.19682445284
2015-10-15,101786.3563111072,99329.72270335909
2015-10-16,102239.99640141276,99781.15178050753
2015-10-19,102306.4315031818,99830.18974437471
2015-10-20,102226.7162483613,99702.63578929659
2015-10-21,101592.32275196287,99084.3546613669
2015-10-22,103337.30076086237,100757.64262523409
2015-10-23,104303.12115510552,101861.66960277315
2015-10-26,104040.92877257337,101611.45390453096
2015-10-27,103795.6981811461,101415.15947093721
2015-10-28,104981.25825689774,102568.28679027315
2015-10-29,104848.23086405685,102509.41093578096
2015-10-30,104444.13676046462,102067.77519359346
2015-11-02,105632.73421513171,103274.89506664034
