date,strategy,spy
2015-01-02,99508.54046158394,99390.77287425753
2015-01-05,98068.82553364238,97596.53410472628
2015-01-06,97295.80352102121,96677.5646223044
2015-01-07,98334.88318438729,97881.8507551169
2015-01-08,99923.98093806108,99618.0958723044
2015-01-09,99265.12143008312,98820.0861066794
2015-01-12,98650.25188149413,98046.26115550753
2015-01-13,98507.05240903696,97770.59526195284
2015-01-14,98089.85058306059,97180.55351390596
2015-01-15,97333.8329436024,96290.6788801169
2015-01-16,98435.35856448015,97552.95866527315
2015-01-20,98377.60715182027,97760.91777171846
2015-01-21,98909.20802937349,98254.22917308565
2015-01-22,100221.83221648535,99714.80839671846
2015-01-23,99962.82411627372,99168.27971019503
2015-01-26,100486.68319900235,99400.45927562471
2015-01-27,99812.51484103402,98089.80986156221
2015-01-28,98775.35125018557,96832.35099925753
2015-01-29,99502.25759710273,97727.0822004294
2015-01-30,98160.59609554609,96498.6290754294
2015-02-02,99048.23285077413,97693.22880687471
2015-02-03,100315.63519690832,99105.42057933565
2015-02-04,100043.6136955758,98728.17668285128
2015-02-05,100979.96250753006,99724.48588695284
2015-02-06,100545.3430568715,99448.81999339815
2015-02-09,100150.24484775861,99003.87822093721
2015-02-10,101163.69126088818,100058.18107738253
2015-02-11,101176.51476852497,100116.23710765596
2015-02-12,102139.06320358714,101078.68400707003
2015-02-13,102441.68090940913,101494.59330882784
2015-02-17,102500.41965205868,101654.19169749971
2015-02-18,102737.6269800206,101663.86918773409
2015-02-19,102728.29463209113,101591.31474437471
2015-02-20,103312.15844656428,102200.67582835909
2015-02-23,103239.09277136525,102186.17741527315
2015-02-24,103417.27141256531,102476.35063304659
2015-02-25,103401.71491385897,102389.33342113253
2015-02-26,103236.37844009598,102268.38261546846
2015-02-27,103044.40537764033,101920.1622785544
2015-03-02,103687.84454466304,102563.43022289034
2015-03-03,103233.27651788195,102142.6554426169
2015-03-04,102732.88662834367,101712.22099437471
2015-03-05,102984.68365330895,101823.45866527315
2015-03-06,101720.61929120024,100391.89409007784
2015-03-09,102015.09604485234,100807.80339183565
2015-03-10,100707.24256999692,99173.14518871065
2015-03-11,100862.70259405574,98941.00126781221
2015-03-12,102077.86011601886,100198.44230785128
2015-03-13,101556.96440292796,99584.22465648409
2015-03-16,102753.43527932366,100914.21122874971
2015-03-17,102562.28997655114,100614.3605207419
2015-03-18,103618.39437545737,101823.45866527315
2015-03-19,103334.46771605214,101359.17973460909
2015-03-20,104168.99235691031,102253.51884593721
2015-03-23,103983.3739527603,102054.35502757784
2015-03-24,103519.92196924886,101481.12858714815
2015-03-25,102020.9830466052,99994.5734113669
2015-03-26,101834.04331739148,99756.53032054659
2015-03-27,102279.45407672127,99984.86027660128
2015-03-30,103387.15636820992,101204.2062238669
2015-03-31,102835.779313459,100320.06144847628
2015-04-01,102436.30094070634,99965.45182933565
2015-04-02,102750.7590417405,100324.9269269919
2015-04-06,103313.83237315615,101000.15910472628
2015-04-07,102941.30095346173,100732.9855207419
2015-04-08,103372.26458741626,101073.05217113253
2015-04-09,103592.19958265027,101519.93657054659
2015-04-10,103927.52299673756,102073.76347484346
2015-04-13,103667.54288710555,101612.29155101534
2015-04-14,103816.90235544642,101806.58097972628
2015-04-15,104228.62027658423,102263.24980296846
2015-04-16,104259.06937743624,102234.08366527315
2015-04-17,103204.83302874764,101058.46464671846
2015-04-20,103957.76766557893,101981.46196117159
2015-04-21,104013.73814870318,101860.02995433565
2015-04-22,104253.67264957627,102360.38115062471
2015-04-23,104494.15100939473,102617.83268871065
2015-04-24,104475.0720216175,102855.89360179659
2015-04-27,103980.76485533913,102428.40873851534
2015-04-28,104133.08485598763,102753.87004222628
2015-04-29,103661.5035801073,102331.23283519503
2015-04-30,102696.13114710053,101306.2208723044
2015-05-01,103684.3710166951,102404.0724348044
2015-05-04,104060.95091970166,102695.59123363253
2015-05-05,102909.07087911566,101519.93657054659
2015-05-06,102694.1793537875,101102.1915754294
2015-05-07,103157.16787721118,101505.4025129294
2015-05-08,104127.33212651213,102841.35063304659
2015-05-11,103938.61465971073,102350.65910472628
2015-05-12,103672.8297673603,102044.61515941378
2015-05-13,103690.38528861006,102064.05925121065
2015-05-14,104691.85123814543,103127.95939769503
2015-05-15,104824.35921932658,103239.67826976534
2015-05-18,105269.92766572436,103560.3097394919
2015-05-19,105240.45452637871,103526.26921214815
2015-05-20,105154.96725793084,103453.40287914034
2015-05-21,105296.99922652444,103754.62590160128
2015-05-22,105152.09324754676,103506.86076488253
2015-05-26,104270.9398713251,102394.39494457003
2015-05-27,105075.70940293273,103365.95793285128
2015-05-28,105027.19711972674,103249.38249339815
2015-05-29,104515.40941466292,102608.13737621065
2015-06-01,104701.36132605275,102817.03215160128
2015-06-02,104590.15657861432,102714.99076976534
2015-06-03,104806.39639224013,102987.02983226534
2015-06-04,104045.90246887406,102117.4904035544
2015-06-05,104125.72226770123,101942.59159984346
2015-06-08,103499.84873683652,101315.90727367159
2015-06-09,103470.0080458661,101301.3732160544
2015-06-10,104522.42135013541,102515.82695140596
2015-06-11,104832.17431653937,102846.2072004294
2015-06-12,104340.02832187613,102059.18486156221
2015-06-15,103978.07103849848,101621.99577464815
2015-06-16,104433.92200596532,102175.77812328096
2015-06-17,104701.48570223054,102340.94596996065
2015-06-18,105628.3414130946,103404.85502757784
2015-06-19,105317.15475161275,102946.0118879294
2015-06-22,105767.08235140046,103473.18559398409
2015-06-23,105736.28526879748,103546.42619457003
2015-06-24,104995.38316978415,102794.69194164034
2015-06-25,104793.60152955254,102482.23198070284
2015-06-26,104768.97842986783,102462.73442210909
2015-06-29,102837.56212337216,100314.81279124971
2015-06-30,103157.9465417405,100524.74125804659
2015-07-01,103787.18392048677,101330.15617503878
2015-07-02,103706.67418040236,101237.4269269919
2015-07-06,103355.88009621104,100949.4191144919
2015-07-07,103894.78583605489,101584.02543773409
2015-07-08,102410.29452861747,99880.3683332419
2015-07-09,102701.14829470118,100060.97026195284
2015-07-10,103761.72154070338,101320.43412914034
2015-07-13,104592.82059301337,102438.28227367159
2015-07-14,105000.02571763,102882.4933332419
2015-07-15,104679.78991223773,102848.33696117159
2015-07-16,105374.29068793257,103673.32072582003
2015-07-17,105102.57185239991,103761.2023176169
2015-07-20,105082.03701986274,103814.8829816794
2015-07-21,104695.13311870297,103404.85502757784
2015-07-22,104823.04866029223,103219.3341535544
2015-07-23,104392.72843302687,102638.43522777315
2015-07-24,103532.27225689491,101574.25883617159
2015-07-27,102832.84687174758,100983.58439769503
2015-07-28,103867.39379660686,102223.4972394919
2015-07-29,104684.93506006798,102926.44304027315
2015-07-30,104984.8524966379,102950.8595441794
2015-07-31,105128.572923853,102794.69194164034
2015-08-03,104960.92901794513,102448.0577863669
2015-08-04,104952.02171437343,102247.89592113253
2015-08-05,105432.04843975505,102584.71000804659
2015-08-06,104755.56910185417,101745.11198558565
2015-08-07,104668.40492637357,101549.86015453096
2015-08-10,105718.46599115332,102828.82158031221
2015-08-11,104912.98346473178,101901.33305492159
2015-08-12,104978.51060141524,102023.3888410544
2015-08-13,105062.08838511904,101896.45866527315
2015-08-14,105532.03027690848,102267.42021312471
2015-08-17,106119.67198558053,102838.5792707419
2015-08-18,105818.10927189788,102540.81376781221
2015-08-19,105129.16094995936,101730.48881664034
2015-08-20,103028.70302922925,99606.9747785544
2015-08-21,100610.94334824284,96609.6974348044
2015-08-24,97073.73748536309,92543.38713207003
2015-08-25,96044.75873540243,91454.7853254294
2015-08-26,98703.88436682423,94964.60429515596
2015-08-27,100725.65399207076,97312.64323558565
2015-08-28,100929.08417780598,97317.53544749971
2015-08-31,100219.32450403174,96531.60026683565
2015-09-01,97678.43462182482,93651.4864973044
2015-09-02,99048.73012031516,95428.3663801169
2015-09-03,99397.89600594243,95496.74150218721
2015-09-04,98160.50912554463,94051.7745832419
2015-09-08,100383.24822713336,96414.4366926169
2015-09-09,99361.34702904423,95125.72648753878
2015-09-10,99667.86459167203,95643.1603254294
2015-09-11,100129.11779202422,96077.62260570284
2015-09-14,99768.18379057845,95721.25749339815
2015-09-15,100784.1047281762,96917.25627269503
2015-09-16,101598.16016037663,97756.8810285544
2015-09-17,101557.23018790683,97537.2394269919
2015-09-18,100216.6856289049,95943.90214671846
2015-09-21,100565.84284527501,96439.54826488253
2015-09-22,99282.26712258061,95188.25590648409
2015-09-23,99107.17026014527,95036.15178050753
2015-09-24,98760.62595386704,94692.65434398409
2015-09-25,98798.4363064905,94668.10417308565
2015-09-28,96482.4632061859,92293.17143382784
2015-09-29,96480.68563355407,92347.12834300753
2015-09-30,98070.62785841426,94069.49882640596
2015-10-01,98210.8951612254,94314.79557933565
2015-10-02,99415.09001226624,95723.13774242159
2015-10-05,101029.07376630505,97425.83244457003
2015-10-06,100490.67179460725,97092.10160960909
2015-10-07,101343.42199189862,97887.07267894503
2015-10-08,102164.5949715515,98770.33525218721
2015-10-09,102186.6010541459,98829.20219554659
2015-10-12,102302.89299745759,98922.4572004294
2015-10-13,101551.04321308335,98299.25712718721
2015-10-14,101014.9861996313,97828.19682445284
2015-10-15,102195.77431090077,99329.72270335909
2015-10-16,102420.34817810258,99781.15178050753
2015-10-19,102467.3971091052,99830.18974437471
2015-10-20,102458.93080420693,99702.63578929659
2015-10-21,101833.74599273404,99084.3546613669
2015-10-22,103213.93151016434,100757.64262523409
2015-10-23,103804.4116934081,101861.66960277315
2015-10-26,103606.78425879678,101611.45390453096
2015-10-27,103155.85454751452,101415.15947093721
2015-10-28,104215.02787984809,102568.28679027315
2015-10-29,103887.76745124062,102509.41093578096
2015-10-30,103884.62716920575,102067.77519359346
2015-11-02,104929.02094878157,103274.89506664034
2015-11-03,104966.0647418042,103574.2111066794
2015-11-04,104792.59022630652,103260.15605296846
2015-11-05,104768.92626447877,103157.12553539034
2015-11-06,104779.93153507909,103103.12407054659
2015-11-09,103901.38462759455,102141.3722394919
2015-11-10,104099.49521060189,102376.9113019919
2015-11-11,103897.56766225299,101974.59147777315
