date,strategy,spy
2015-01-02,98004.06959284688,99390.77292890009
2015-01-05,95243.82674921895,97596.49851483759
2015-01-06,95252.75657404805,96677.60032147821
2015-01-07,96588.12844981099,97881.83298749384
2015-01-08,100298.34707011128,99618.06919354852
2015-01-09,100405.87575663472,98820.09507245477
2015-01-12,97932.37607706929,98046.2701212829
2015-01-13,98801.69761408711,97770.60422772821
2015-01-14,98425.3008626833,97180.58921307977
2015-01-15,95754.6652578249,96290.69675702509
2015-01-16,95010.80930460835,97552.97654218134
2015-01-20,97457.41908778096,97760.94455975946
2015-01-21,98201.25959147359,98254.23813886102
2015-01-22,100755.3826116457,99714.81736249384
2015-01-23,101275.17411936665,99168.29758710321
2015-01-26,101382.70280589009,99400.44150800165
2015-01-27,97833.80038966084,98089.8277384704
2015-01-28,103363.26997507954,96832.36887616571
2015-01-29,106580.58698405171,97727.07334393915
2015-01-30,105021.25108469868,96498.64695233759
2015-02-02,106338.61654032613,97693.21995038446
2015-02-03,106356.545712842,99105.44736737665
2015-02-04,107172.07200755025,98728.20347089227
2015-02-05,107936.82344187642,99724.46811932977
2015-02-06,107028.10561884785,99448.79331464227
2015-02-09,107738.9073156252,99003.88718671259
2015-02-10,109808.23972453023,100058.18113202509
2015-02-11,112381.47380579854,100116.23716229852
2015-02-12,113803.02312601949,101078.67515057977
2015-02-13,114360.8745359316,101494.57554120477
2015-02-17,115035.65566767598,101654.20066327509
2015-02-18,115836.40449274922,101663.88706464227
2015-02-19,115593.44527949239,101591.30588788446
2015-02-20,116538.19911707783,102200.70261640009
2015-02-23,119687.22150553609,102186.19529218134
2015-02-24,118940.42241801167,102476.36850995477
2015-02-25,115899.38447703267,102389.33347577509
2015-02-26,117365.93053568745,102268.40049237665
2015-02-27,115602.48325098897,101920.21579999384
2015-03-02,116169.24131144429,102563.41245526727
2015-03-03,116412.23914851094,102142.6822306579
2015-03-04,115674.43168391133,101712.2388712829
2015-03-05,113758.04183710957,101823.45871991571
2015-03-06,113928.98309458638,100391.92978925165
2015-03-09,114414.84744776631,100807.78562421259
2015-03-10,112048.58291376973,99173.1363322204
2015-03-11,110006.20992411519,98940.98350018915
2015-03-12,111994.57910288716,100198.4869181579
2015-03-13,111220.79742182637,99584.25144452509
2015-03-16,112444.4306157961,100914.2291056579
2015-03-17,114324.86942042256,100614.3873087829
2015-03-18,115611.48259867574,101823.45871991571
2015-03-19,114738.74671687032,101359.17087811884
2015-03-20,113299.1832517519,102253.50998944696
2015-03-23,114477.81198252583,102054.34617108759
2015-03-24,114009.98494852925,101481.13755292352
2015-03-25,111031.89609278584,99994.59128827509
2015-03-26,111805.64687479878,99756.53928632196
2015-03-27,110914.92002238179,99984.89597577509
2015-03-30,113722.05217112447,101204.17954511102
2015-03-31,111976.58813227559,100320.07041425165
2015-04-01,111814.66167200948,99965.42515057977
2015-04-02,112777.33695734883,100324.90915936884
2015-04-06,114603.77967585469,101000.18589276727
2015-04-07,113398.1451772585,100732.98557538446
2015-04-08,113029.24916972066,101073.02549237665
2015-04-09,113893.01660288716,101519.96335858759
2015-04-10,114378.88868082906,102073.79917401727
2015-04-13,114153.91271342183,101612.28269452509
2015-04-14,113659.07991160298,101806.58103436884
2015-04-15,114090.94817866231,102263.24094647821
2015-04-16,113542.11929072285,102234.08371991571
2015-04-17,112264.50546015645,101058.47361249384
2015-04-20,114828.7170194521,101981.45310468134
2015-04-21,114207.92424906636,101860.0210978454
2015-04-22,115746.42646540547,102360.3990275329
2015-04-23,116691.13395441914,102617.87729901727
2015-04-24,117239.97056712056,102855.89365643915
2015-04-27,119372.30613459492,102428.39097089227
2015-04-28,117491.91367854024,102753.86118573602
2015-04-29,115764.43288554097,102331.25071210321
2015-04-30,112624.3866704836,101306.25657147821
2015-05-01,116043.32769144917,102404.12595624384
2015-05-04,115818.41352213765,102695.60911054071
2015-05-05,113209.1974996462,101519.96335858759
2015-05-06,112498.43442667866,101102.20054120477
2015-05-07,113194.1264890566,101505.40256757196
2015-05-08,115326.32301081563,102841.33286542352
2015-05-11,114151.80385340596,102350.65915936884
2015-05-12,113745.22645701314,102044.63303632196
2015-05-13,113871.70398463155,102064.06821698602
2015-05-14,116527.95608271504,103127.95945233759
2015-05-15,116365.33439387227,103239.66941327509
2015-05-18,117648.27831019307,103560.3365275329
2015-05-19,117539.86900080586,103526.34055585321
2015-05-20,117530.81557978535,103453.44748944696
2015-05-21,118732.48727549458,103754.62595624384
2015-05-22,119771.46003474141,103506.86081952509
2015-05-26,117133.28387965108,102394.41282147821
2015-05-27,119319.73140467549,103365.95798749384
2015-05-28,119084.85229243184,103249.39145917352
2015-05-29,117729.58915461446,102608.14634198602
2015-06-01,117964.491441144,102817.05002850946
2015-06-02,117440.48993815327,102715.01755780634
2015-06-03,117585.012509717,102987.06553143915
2015-06-04,116898.41249216939,102117.48154706415
