from_date,to_date,ticker,days_held
2015-01-02,2016-02-03,AAPL,397
2016-02-03,2016-02-04,GOOGL,1
2016-02-04,2018-12-03,AAPL,1033
2018-12-03,2018-12-04,MSFT,1
2018-12-04,2018-12-07,AAPL,3
2018-12-07,2019-01-08,MSFT,32
2019-01-08,2019-01-23,AMZN,15
2019-01-23,2019-01-31,MSFT,8
2019-01-31,2019-02-05,AMZN,5
2019-02-05,2019-02-06,MSFT,1
2019-02-06,2019-02-08,AAPL,2
2019-02-08,2019-03-25,MSFT,45
2019-03-25,2019-03-26,AAPL,1
2019-03-26,2019-04-03,MSFT,8
2019-04-03,2019-04-26,AAPL,23
2019-04-26,2019-05-02,MSFT,6
2019-05-02,2019-05-03,AAPL,1
2019-05-03,2019-10-14,MSFT,164
2019-10-14,2019-10-16,AAPL,2
2019-10-16,2019-10-18,MSFT,2
2019-10-18,2019-10-30,AAPL,12
2019-10-30,2019-11-01,MSFT,2
2019-11-01,2020-02-11,AAPL,102
2020-02-11,2020-02-12,MSFT,1
2020-02-12,2020-02-19,AAPL,7
2020-02-19,2020-02-24,MSFT,5
2020-02-24,2020-02-27,AAPL,3
2020-02-27,2020-03-04,MSFT,6
2020-03-04,2020-03-05,AAPL,1
2020-03-05,2020-03-09,MSFT,4
2020-03-09,2020-03-20,AAPL,11
2020-03-20,2020-05-28,MSFT,69
2020-05-28,2020-06-01,AAPL,4
2020-06-01,2020-06-02,MSFT,1
2020-06-02,2020-06-03,AAPL,1
2020-06-03,2020-06-04,MSFT,1
2020-06-04,2021-11-01,AAPL,515
2021-11-01,2021-11-19,MSFT,18
2021-11-19,2024-01-17,AAPL,789
2024-01-17,2024-01-23,MSFT,6
2024-01-23,2024-01-26,AAPL,3
2024-01-26,2024-06-14,MSFT,140
2024-06-14,2024-06-17,AAPL,3
2024-06-17,2024-06-20,MSFT,3
2024-06-20,2024-06-21,NVDA,1
2024-06-21,2024-07-09,MSFT,18
2024-07-09,2024-11-05,AAPL,119
2024-11-05,2024-11-19,NVDA,14
2024-11-19,2024-11-20,AAPL,1
2024-11-20,2024-11-25,NVDA,5
2024-11-25,2025-01-07,AAPL,43
2025-01-07,2025-01-08,NVDA,1
2025-01-08,2025-01-22,AAPL,14
2025-01-22,2025-01-28,NVDA,6
2025-01-28,2025-04-09,AAPL,71
2025-04-09,2025-04-10,MSFT,1
2025-04-10,2025-05-05,AAPL,25
2025-05-05,2025-06-11,MSFT,37
2025-06-11,2025-06-12,NVDA,1
2025-06-12,2025-06-26,MSFT,14
2025-06-26,2025-12-30,NVDA,187
