date,ticker,action,shares,exec_price,gross,commission,cash_after,reason,leader_mcap_billions
2015-01-02,AAPL,buy,4050,24.6608,99876.09,99.88,24.04,initial_entry,609.6
2016-02-03,AAPL,sell,4050,21.3691,86545.01,86.55,86482.5,surpassed_by_GOOGL,536.8
2016-02-03,GOOGL,buy,2214,39.0112,86370.87,86.37,25.26,new_leader,536.8
2016-02-04,GOOGL,sell,2214,36.9059,81709.57,81.71,81653.12,surpassed_by_AAPL,534.2
2016-02-04,AAPL,buy,3758,21.7013,81553.4,81.55,18.17,new_leader,534.2
2018-12-03,AAPL,sell,3758,43.7444,164391.43,164.39,164245.21,surpassed_by_MSFT,851.2
2018-12-03,MSFT,buy,1558,105.312,164076.05,164.08,5.08,new_leader,851.2
2018-12-04,MSFT,sell,1558,104.2198,162374.45,162.37,162217.15,surpassed_by_AAPL,877.0
2018-12-04,AAPL,buy,3772,42.9549,162025.98,162.03,29.15,new_leader,877.0
2018-12-07,AAPL,sell,3772,41.1429,155190.92,155.19,155064.87,surpassed_by_MSFT,838.2
2018-12-07,MSFT,buy,1533,101.0063,154842.64,154.84,67.39,new_leader,838.2
2019-01-08,MSFT,sell,1533,95.9336,147066.28,147.07,146986.6,surpassed_by_AMZN,796.8
2019-01-08,AMZN,buy,1763,83.2761,146815.79,146.82,23.99,new_leader,796.8
2019-01-23,AMZN,sell,1763,82.7586,145903.42,145.9,145781.51,surpassed_by_MSFT,811.4
2019-01-23,MSFT,buy,1472,98.9,145580.85,145.58,55.07,new_leader,811.4
2019-01-31,MSFT,sell,1472,96.6412,142255.85,142.26,142168.67,surpassed_by_AMZN,816.8
2019-01-31,AMZN,buy,1677,84.6848,142016.45,142.02,10.2,new_leader,816.8
2019-02-05,AMZN,sell,1677,82.1259,137725.16,137.73,137597.64,surpassed_by_MSFT,811.3
2019-02-05,MSFT,buy,1390,98.8441,137393.33,137.39,66.92,new_leader,811.3
2019-02-06,MSFT,sell,1390,99.6205,138472.49,138.47,138400.93,surpassed_by_AAPL,823.8
2019-02-06,AAPL,buy,3334,41.4594,138225.63,138.23,37.08,new_leader,823.8
2019-02-08,AAPL,sell,3334,40.2476,134185.42,134.19,134088.32,surpassed_by_MSFT,807.7
2019-02-08,MSFT,buy,1376,97.2878,133867.95,133.87,86.51,new_leader,807.7
2019-03-25,MSFT,sell,1376,108.9846,149962.88,149.96,149899.42,surpassed_by_AAPL,900.9
2019-03-25,AAPL,buy,3279,45.6567,149708.32,149.71,41.39,new_leader,900.9
2019-03-26,AAPL,sell,3279,45.6468,149675.84,149.68,149567.55,surpassed_by_MSFT,902.7
2019-03-26,MSFT,buy,1345,111.0217,149324.24,149.32,93.99,new_leader,902.7
2019-04-03,MSFT,sell,1345,112.0702,150734.38,150.73,150677.63,surpassed_by_AAPL,914.9
2019-04-03,AAPL,buy,3267,46.0715,150515.61,150.52,11.5,new_leader,914.9
2019-04-26,AAPL,sell,3267,48.8001,159429.93,159.43,159282.0,surpassed_by_MSFT,990.9
2019-04-26,MSFT,buy,1310,121.392,159023.5,159.02,99.48,new_leader,990.9
2019-05-02,MSFT,sell,1310,119.6625,156757.83,156.76,156700.55,surpassed_by_AAPL,992.7
2019-05-02,AAPL,buy,3129,50.0266,156533.32,156.53,10.69,new_leader,992.7
2019-05-03,AAPL,sell,3129,50.2267,157159.41,157.16,157012.94,surpassed_by_MSFT,967.1
2019-05-03,MSFT,buy,1315,119.2019,156750.49,156.75,105.71,new_leader,967.1
2019-10-14,MSFT,sell,1315,131.5314,172963.84,172.96,172896.58,surpassed_by_AAPL,1067.5
