date,ticker,action,shares,exec_price,gross,commission,cash_after,reason,mcap_billions
2015-01-02,AAPL,buy,810,24.6608,19975.22,19.98,80004.81,initial_entry,609.6
2015-01-02,XOM,buy,351,56.8169,19942.73,19.94,60042.14,initial_entry,386.4
2015-01-02,MSFT,buy,504,39.6167,19966.8,19.97,40055.37,initial_entry,373.5
2015-01-02,BRK-B,buy,131,151.5758,19856.42,19.86,20179.09,initial_entry,367.7
2015-01-02,GOOGL,buy,756,26.4249,19977.23,19.98,181.88,initial_entry,364.2
2017-02-22,XOM,sell,351,54.2887,19055.34,19.06,19218.16,replaced_by_AMZN,339.6
2017-02-22,AMZN,buy,443,42.8689,18990.93,18.99,208.24,replaces_XOM,408.7
2018-07-18,BRK-B,sell,131,195.4022,25597.69,25.6,25780.34,replaced_by_META,469.9
2018-07-18,META,buy,122,208.2904,25411.42,25.41,343.5,replaces_BRK-B,568.3
2018-09-13,META,sell,122,160.6582,19600.31,19.6,19924.2,replaced_by_BRK-B,438.4
2018-09-13,BRK-B,buy,90,215.1275,19361.48,19.36,543.37,replaces_META,529.5
2020-05-01,BRK-B,sell,90,185.1174,16660.57,16.66,17187.27,replaced_by_META,455.7
2020-05-01,META,buy,83,200.1303,16610.82,16.61,559.85,replaces_BRK-B,554.0
2021-01-15,META,sell,83,245.8468,20405.28,20.41,20944.72,replaced_by_TSLA,664.8
2021-01-15,TSLA,buy,71,284.142,20174.08,20.17,750.47,replaces_META,801.0
2021-03-08,TSLA,sell,71,200.0832,14205.91,14.21,14942.17,replaced_by_META,573.9
2021-03-08,META,buy,53,263.6141,13971.54,13.97,956.65,replaces_TSLA,715.2
2021-10-28,META,sell,53,310.3977,16451.08,16.45,17391.28,replaced_by_TSLA,845.0
2021-10-28,TSLA,buy,46,356.2814,16388.94,16.39,985.95,replaces_META,1042.3
2022-11-21,TSLA,sell,46,175.7621,8085.06,8.09,9062.92,replaced_by_BRK-B,569.0
2022-11-21,BRK-B,buy,25,310.9654,7774.14,7.77,1281.01,replaces_TSLA,684.2
2023-05-26,BRK-B,sell,25,320.2798,8006.99,8.01,9280.0,replaced_by_NVDA,698.0
2023-05-26,NVDA,buy,210,37.8754,7953.84,7.95,1318.2,replaces_BRK-B,939.3
