date,strategy,spy
2015-01-02,99642.77798889983,99390.77292890009
2015-01-05,98409.96315430511,97596.49851483759
2015-01-06,97608.22118424285,96677.60032147821
2015-01-07,98702.43727921355,97881.83298749384
2015-01-08,100457.43597840179,99618.06919354852
2015-01-09,99288.2437844168,98820.09507245477
2015-01-12,98879.83087967742,98046.2701212829
2015-01-13,98767.84912728179,97770.60422772821
2015-01-14,97237.07417153228,97180.58921307977
2015-01-15,95950.18434189666,96290.69675702509
2015-01-16,96996.83909272063,97552.97654218134
2015-01-20,96642.22740029205,97760.94455975946
2015-01-21,96971.77226685394,98254.23813886102
2015-01-22,98681.61641739715,99714.81736249384
2015-01-23,97847.5818829428,99168.29758710321
2015-01-26,97721.13542984832,99400.44150800165
2015-01-27,96131.35569046844,98089.8277384704
2015-01-28,95206.95306633819,96832.36887616571
2015-01-29,96442.88008927215,97727.07334393915
2015-01-30,94134.5458874594,96498.64695233759
2015-02-02,94733.66449211944,97693.21995038446
2015-02-03,95842.40052651275,99105.44736737665
2015-02-04,95654.13360642303,98728.20347089227
2015-02-05,96329.74934624541,99724.46811932977
2015-02-06,95911.78595780242,99448.79331464227
2015-02-09,95179.06734322417,99003.88718671259
2015-02-10,96077.25799988616,100058.18113202509
2015-02-11,96224.96439408172,100116.23716229852
2015-02-12,96152.8082451712,101078.67515057977
2015-02-13,96236.98707817901,101494.57554120477
2015-02-17,96438.84745453704,101654.20066327509
2015-02-18,96642.3142342459,101663.88706464227
2015-02-19,96553.27787827361,101591.30588788446
2015-02-20,97012.79949425567,102200.70261640009
2015-02-23,96768.38998078216,102186.19529218134
2015-02-24,97257.40231179107,102476.36850995477
2015-02-25,97499.24084900726,102389.33347577509
2015-02-26,98148.9942822348,102268.40049237665
2015-02-27,97652.86166809905,101920.21579999384
2015-03-02,98212.56690453399,102563.41245526727
2015-03-03,97878.76532791961,102142.6822306579
2015-03-04,97766.6111836325,101712.2388712829
2015-03-05,98260.74919175018,101823.45871991571
2015-03-06,96477.28084229339,100391.92978925165
2015-03-09,96795.32856415618,100807.78562421259
2015-03-10,95075.442030419,99173.1363322204
2015-03-11,94698.92359589446,98940.98350018915
2015-03-12,96131.480803002,100198.4869181579
2015-03-13,95613.37711571563,99584.25144452509
2015-03-16,96950.45195626128,100914.2291056579
2015-03-17,96664.74986504424,100614.3873087829
2015-03-18,97581.37578438628,101823.45871991571
2015-03-19,97599.4944119345,101359.17087811884
2015-03-20,98879.17881821502,102253.50998944696
2015-03-23,98997.22509812225,102054.34617108759
2015-03-24,98539.46546601165,101481.13755292352
2015-03-25,96746.61455773223,99994.59128827509
2015-03-26,96651.22007416595,99756.53928632196
2015-03-27,96676.04454277862,99984.89597577509
2015-03-30,97699.09931801666,101204.17954511102
2015-03-31,96909.1977524649,100320.07041425165
2015-04-01,96144.03133629668,99965.42515057977
2015-04-02,96422.66000222076,100324.90915936884
2015-04-06,96733.7775406729,101000.18589276727
2015-04-07,96747.72246788848,100732.98557538446
2015-04-08,97020.9386029135,101073.02549237665
2015-04-09,97334.38881729949,101519.96335858759
2015-04-10,97572.59227799285,102073.79917401727
2015-04-13,97583.90547608245,101612.28269452509
2015-04-14,98025.82595108855,101806.58103436884
2015-04-15,98097.70781372894,102263.24094647821
2015-04-16,97593.7322850119,102234.08371991571
2015-04-17,96320.92621277679,101058.47361249384
2015-04-20,97292.82747696746,101981.45310468134
2015-04-21,97165.32374428619,101860.0210978454
2015-04-22,97745.31638573516,102360.3990275329
2015-04-23,96987.13111161102,102617.87729901727
2015-04-24,96982.18959664214,102855.89365643915
2015-04-27,96700.75279091705,102428.39097089227
2015-04-28,96451.4849247824,102753.86118573602
2015-04-29,96191.46886872161,102331.25071210321
2015-04-30,95386.3526654135,101306.25657147821
2015-05-01,96034.73626374114,102404.12595624384
2015-05-04,96537.63706253875,102695.60911054071
2015-05-05,95647.74181221832,101519.96335858759
2015-05-06,95642.8756165396,101102.20054120477
2015-05-07,96051.86723564971,101505.40256757196
2015-05-08,97023.99397324432,102841.33286542352
2015-05-11,96545.50872086395,102350.65915936884
2015-05-12,96399.79152153838,102044.63303632196
2015-05-13,96472.59931229461,102064.06821698602
2015-05-14,97957.50104187835,103127.95945233759
2015-05-15,97979.88018654693,103239.66941327509
2015-05-18,98575.0287327658,103560.3365275329
2015-05-19,98008.06431053985,103526.34055585321
2015-05-20,97545.78711747039,103453.44748944696
2015-05-21,97533.69937943328,103754.62595624384
2015-05-22,97123.85666130889,103506.86081952509
2015-05-26,96070.31663750518,102394.41282147821
2015-05-27,96802.32908104766,103365.95798749384
2015-05-28,96522.11408852447,103249.39145917352
2015-05-29,95605.32206963409,102608.14634198602
2015-06-01,96172.58050583709,102817.05002850946
2015-06-02,96063.82949684966,102715.01755780634
2015-06-03,96901.24468850005,102987.06553143915
2015-06-04,96252.60523461211,102117.48154706415
2015-06-05,96088.40204285491,101942.61838788446
2015-06-08,95379.79822205413,101315.93406171259
2015-06-09,95754.06004380096,101301.38218182977
2015-06-10,96860.44124077666,102515.87156171259
2015-06-11,96903.15374993194,102846.19834393915
2015-06-12,96328.76807450164,102059.23838300165
2015-06-15,95586.78369568694,101621.97800702509
2015-06-16,96282.577627648,102175.80491132196
2015-06-17,96772.43485497344,102340.99949140009
2015-06-18,97800.66079186309,103404.83725995477
2015-06-19,97258.29113053191,102945.98520917352
2015-06-22,98144.64704750884,103473.18564862665
2015-06-23,98938.90957497466,103546.44407147821
2015-06-24,98758.70882271636,102794.66526288446
2015-06-25,98226.85006378997,102482.24985761102
2015-06-26,98481.06668709625,102462.72556561884
2015-06-29,96586.4291977774,100314.82175702509
2015-06-30,96584.66431092132,100524.69675702509
2015-07-01,97864.65934990752,101330.20969647821
2015-07-02,97818.85438202728,101237.43589276727
2015-07-06,97960.61688279021,100949.43699140009
2015-07-07,98510.51105736602,101584.02549237665
