date,ticker,action,shares,exec_price,gross,commission,cash_after,reason,mcap_billions,global_rank
2015-01-02,JNJ,buy,259,76.9752,19936.59,19.94,80043.48,initial_entry,289.2,6.0
2015-01-02,WMT,buy,859,23.2388,19962.11,19.96,60061.4,initial_entry,275.0,7.0
2015-01-02,PG,buy,303,65.8786,19961.22,19.96,40080.22,initial_entry,246.0,8.0
2015-01-02,JPM,buy,433,46.0678,19947.35,19.95,20112.92,initial_entry,230.0,9.0
2015-01-02,META,buy,256,78.0071,19969.83,19.97,123.12,initial_entry,212.3,10.0
2015-08-03,PG,sell,303,56.7349,17190.67,17.19,17296.6,swap_for_AMZN,208.7,
2015-08-03,AMZN,buy,638,26.8859,17153.23,17.15,126.22,swap_from_PG,251.3,
2015-12-09,WMT,sell,859,16.3905,14079.42,14.08,14191.56,swap_for_XOM,190.9,
2015-12-09,XOM,buy,294,47.6753,14016.53,14.02,161.02,swap_from_WMT,310.7,
2015-12-09,AMZN,sell,638,33.8831,21617.39,21.62,21756.79,swap_for_PG,317.5,
2015-12-09,PG,buy,371,58.1184,21561.93,21.56,173.29,swap_from_AMZN,211.5,
2016-01-19,XOM,sell,294,49.5941,14580.66,14.58,14739.37,swap_for_AMZN,323.0,
2016-01-19,AMZN,buy,504,28.8689,14549.94,14.55,174.88,swap_from_XOM,267.3,
2016-02-03,JPM,sell,433,43.6244,18889.37,18.89,19045.36,swap_for_BRK-B,209.9,
2016-02-03,BRK-B,buy,149,126.4032,18834.07,18.83,192.45,swap_from_JPM,309.9,
2016-02-03,META,sell,256,114.3153,29264.71,29.26,29427.9,swap_for_WMT,310.2,
2016-02-03,WMT,buy,1567,18.6356,29202.03,29.2,196.67,swap_from_META,214.1,
2016-02-05,WMT,sell,1567,18.4925,28977.82,28.98,29145.5,swap_for_META,212.7,
2016-02-05,META,buy,266,108.7116,28917.29,28.92,199.29,swap_from_WMT,299.0,
2016-02-05,BRK-B,sell,149,127.2164,18955.24,18.96,19135.58,swap_for_JPM,314.1,
2016-02-05,JPM,buy,424,44.5891,18905.77,18.91,210.9,swap_from_BRK-B,215.0,
2016-07-12,JPM,sell,424,48.659,20631.42,20.63,20821.69,swap_for_BRK-B,227.7,
2016-07-12,BRK-B,buy,142,144.6023,20533.52,20.53,267.63,swap_from_JPM,354.9,
2016-07-12,AMZN,sell,504,37.8241,19063.33,19.06,19311.91,swap_for_WMT,355.7,
2016-07-12,WMT,buy,920,20.667,19013.64,19.01,279.25,swap_from_AMZN,230.8,
2016-07-13,PG,sell,371,65.2932,24223.77,24.22,24478.8,swap_for_AMZN,228.3,
2016-07-13,AMZN,buy,647,37.3567,24169.77,24.17,284.86,swap_from_PG,353.0,
2016-07-13,BRK-B,sell,142,144.8076,20562.67,20.56,20826.97,swap_for_JPM,356.7,
2016-07-13,JPM,buy,420,48.7463,20473.46,20.47,333.04,swap_from_BRK-B,231.1,
2016-08-01,WMT,sell,920,20.4358,18800.97,18.8,19115.22,swap_for_BRK-B,227.4,
2016-08-01,BRK-B,buy,129,144.6923,18665.31,18.67,431.24,swap_from_WMT,355.7,
2016-08-01,AMZN,sell,647,37.9745,24569.5,24.57,24976.18,swap_for_PG,359.7,
